Large Category,Sub Category,Source,Category,Vendor,Contact #,Address 1,Address 2,City,State,Zip,Country,Phone,Email,URL,Current Option Period End Date,Ultimate Contract End Date,SAM UEI,"Socio-Economic Indicators 
 (only relative codes will appear for a contract)",,,,,,,,,,,,Contractor T&Cs/Pricelist,View Catalog
,,,,,,,,,,,,,,,,,,"Small 
 Business","Other 
 Than 
 Small 
 Business","Women 
 Owned","Women 
 Owned 
 (WOSB)","Women 
 Owned 
(EDWOSB)","Veteran 
 Owned","Service 
 Disabled 
 Veteran 
 Owned","Small 
 Disadv",8(a),"Hub 
 Zone",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,State & Local,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,," Coop 
 purch"," Disast 
 purch",,
,,,,,,,,,,,,,,,,,,s,o,w,wo,ew,v,dv,d,8a,h,,,,
Information Technology , Telecommunications,MAS,517312 ,"A & T SYSTEMS, INC.",GS-35F-247DA,12200 TECH RD STE 200,,SILVER SPRING,MD,20904-1971,,240-705-7830,adam@ats.com,http://www.ats.com,"Mar 30, 2026","Mar 30, 2036",XNQZKQDJ7U76,s,,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F247DA/GS35F247DA_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-247DA&sin=517312&src=elib&app=cat
Information Technology , Telecommunications,MAS,517312 ,"AMERICAN MESSAGING SERVICES, LLC",GS-35F-0514S,1720 LAKEPOINTE DR STE-100,,LEWISVILLE,TX,75057,,972-353-1913,Chanel.Ridgley@americanmessaging.net,http://americanmessaging.net/,"Jul 10, 2026","Jul 10, 2026",TLC8GU68VDP5,s,,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0514S/GS35F0514S_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0514S&sin=517312&src=elib&app=cat
Information Technology , Telecommunications,MAS,517312 ,AT&T MOBILITY LLC,47QTCA19D00MV,1025 LENOX PARK BLVD NE,,ATLANTA,GA,30319-5309,,3015640918,mb6790@att.com,http://https://www.business.att.com/industries/Portfolio/public-sector/,"Sep 26, 2024","Sep 26, 2039",P2S7GZFBCSJ1,,o,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA19D00MV/47QTCA19D00MV_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA19D00MV&sin=517312&src=elib&app=cat
Information Technology , Telecommunications,MAS,517312 ,"BEST ENTERPRISES, LLC",GS-35F-0278P,6989 55TH ST N,,SAINT PAUL,MN,55128-1703,,651-779-1022,JAMIEB@BEST-ENT.COM,http://www.best-ent.com,"Feb 11, 2024","Feb 11, 2024",WPGCK2CDKJM1,s,,,,,,dv,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0278P/GS35F0278P_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0278P&sin=517312&src=elib&app=cat
Information Technology , Telecommunications,MAS,517312 ,"BLUE SKY NETWORK, LLC",GS-35F-0918R,5353 MISSION CENTER RD STE 222,,SAN DIEGO,CA,92108-1304,,18585513894,dsmith@blueskynetwork.com,http://blueskynetwork.com,"Oct 10, 2025","Oct 10, 2025",E8SUX37MNLC6,s,,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0918R/GS35F0918R_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0918R&sin=517312&src=elib&app=cat
Information Technology , Telecommunications,MAS,517312 ,CELLCO PARTNERSHIP,47QTCA20D00B5,1 VERIZON WAY,,BASKING RIDGE,NJ,07920-1025,,240-280-3532,adrienne.lenskold@verizonwireless.com,http://www.verizonwireless.com/govt,"Jun 10, 2025","Jun 10, 2040",CK77N4SCAJD3,,o,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA20D00B5/47QTCA20D00B5_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA20D00B5&sin=517312&src=elib&app=cat
