Large Category,Sub Category,Source,Category,Vendor,Contact #,Address 1,Address 2,City,State,Zip,Country,Phone,Email,URL,Current Option Period End Date,Ultimate Contract End Date,SAM UEI,"Socio-Economic Indicators 
 (only relative codes will appear for a contract)",,,,,,,,,,,,Contractor T&Cs/Pricelist,View Catalog
,,,,,,,,,,,,,,,,,,"Small 
 Business","Other 
 Than 
 Small 
 Business","Women 
 Owned","Women 
 Owned 
 (WOSB)","Women 
 Owned 
(EDWOSB)","Veteran 
 Owned","Service 
 Disabled 
 Veteran 
 Owned","Small 
 Disadv",8(a),"Hub 
 Zone",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,State & Local,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,," Coop 
 purch"," Disast 
 purch",,
,,,,,,,,,,,,,,,,,,s,o,w,wo,ew,v,dv,d,8a,h,,,,
Information Technology , IT Training,MAS,611420 ,"3 FUERZAS TECHNOLOGY SOLUTIONS, LLC",GS-35F-408GA,6750 W 93RD ST STE 140,,OVERLAND PARK,KS,66212-1465,,9133081598,ogutierrez@edzsystems.com,http://www.edzsystems.com,"Apr 30, 2027","Apr 30, 2037",MGFJMCDAJKC6,s,,w,wo,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F408GA/GS35F408GA_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-408GA&sin=611420&src=elib&app=cat
Information Technology , IT Training,MAS,611420 ,"4CLICKS-SOLUTIONS, LLC",GS-35F-0392P,30 PATEWOOD DR STE 350,,GREENVILLE,SC,29615-6810,,307-514-2837,l.cooley@gordian.com,http://www.4clicks.com,"Mar 26, 2024","Mar 26, 2024",KN7FKNSG2LW4,,o,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0392P/GS35F0392P_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0392P&sin=611420&src=elib&app=cat
Information Technology , IT Training,MAS,611420 ,"ACADEMY OF APPLIED TECHNOLOGY, LLC",47QTCA21D00A0,1992 LEWIS TURNER BLVD. #131,,FORT WALTON BEACH,FL,32547-1255,,(800) 674-3550,lynn@appliedtechac.com,http://https://appliedtechnologyacademy.com/,"May 24, 2026","May 24, 2041",C9V9UN9KAQF7,s,,w,wo,,,,d,,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA21D00A0/47QTCA21D00A0_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA21D00A0&sin=611420&src=elib&app=cat
Information Technology , IT Training,MAS,611420 ,ACADEMY OF COMPUTER EDUCATION,GS-35F-0431S,7833 WALKER DR STE 520,,GREENBELT,MD,20770-3232,,301-220-2802,rsita@trainace.com,http://www.trainace.com,"May 23, 2026","May 23, 2026",RP87E3LUEW95,s,,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0431S/GS35F0431S_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0431S&sin=611420&src=elib&app=cat
Information Technology , IT Training,MAS,611420 ,"ACCELERATED TECHNOLOGY LABORATORIES, INC.",GS-35F-114BA,496 HOLLY GROVE SCHOOL RD,,WEST END,NC,27376-8412,,9106738165,tmclean@atlab.com,http://atlab.com,"Dec 12, 2023","Dec 12, 2033",HP18SZNB14R3,s,,w,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F114BA/GS35F114BA_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-114BA&sin=611420&src=elib&app=cat
Information Technology , IT Training,MAS,611420 ,ACCESS INGENUITY,47QTCA23D003D,4751 HOEN AVE,,SANTA ROSA,CA,95405-7862,,707-579-4380,michaelp@accessingenuity.com,http://www.accessingenuity.com,"Jan 12, 2028","Jan 12, 2043",K3Z4L5ML5SH5,s,,,,,,,d,,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA23D003D/47QTCA23D003D_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA23D003D&sin=611420&src=elib&app=cat
