Large Category,Sub Category,Source,Category,Vendor,Contact #,Address 1,Address 2,City,State,Zip,Country,Phone,Email,URL,Current Option Period End Date,Ultimate Contract End Date,SAM UEI,"Socio-Economic Indicators 
 (only relative codes will appear for a contract)",,,,,,,,,,,,Contractor T&Cs/Pricelist,View Catalog
,,,,,,,,,,,,,,,,,,"Small 
 Business","Other 
 Than 
 Small 
 Business","Women 
 Owned","Women 
 Owned 
 (WOSB)","Women 
 Owned 
(EDWOSB)","Veteran 
 Owned","Service 
 Disabled 
 Veteran 
 Owned","Small 
 Disadv",8(a),"Hub 
 Zone",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,State & Local,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,," Coop 
 purch"," Disast 
 purch",,
,,,,,,,,,,,,,,,,,,s,o,w,wo,ew,v,dv,d,8a,h,,,,
Information Technology , IT Software,MAS,511210 ,"3 FUERZAS TECHNOLOGY SOLUTIONS, LLC",GS-35F-408GA,6750 W 93RD ST STE 140,,OVERLAND PARK,KS,66212-1465,,9133081598,ogutierrez@edzsystems.com,http://www.edzsystems.com,"Apr 30, 2027","Apr 30, 2037",MGFJMCDAJKC6,s,,w,wo,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F408GA/GS35F408GA_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-408GA&sin=511210&src=elib&app=cat
Information Technology , IT Software,MAS,511210 ,3M COMPANY,GS-35F-098GA,3M CENTER,,SAINT PAUL,MN,55144-1001,,(571)269-9026,jjennings@mmm.com,http://www.mmm.com,"Nov 30, 2026","Nov 30, 2036",YLQMY5SGNE55,,o,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F098GA/GS35F098GA_online.htm,
Information Technology , IT Software,MAS,511210 ,3RD EYE TECHNOLOGIES INC.,47QTCA21D00DJ,13800 COPPERMINE RD STE 149,,HERNDON,VA,20171-6163,,703-554-4536,ron.huda@t3rdeyetech.com,http://www.3rdeyetechinc.com,"Aug 11, 2026","Aug 11, 2041",UZYNJMEQGAY4,s,,,,,,,,,,Y,,https://www.gsaadvantage.gov/ref_text/47QTCA21D00DJ/47QTCA21D00DJ_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA21D00DJ&sin=511210&src=elib&app=cat
Information Technology , IT Software,MAS,511210 ,"4CLICKS-SOLUTIONS, LLC",GS-35F-0392P,30 PATEWOOD DR STE 350,,GREENVILLE,SC,29615-6810,,307-514-2837,l.cooley@gordian.com,http://www.4clicks.com,"Mar 26, 2024","Mar 26, 2024",KN7FKNSG2LW4,,o,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0392P/GS35F0392P_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0392P&sin=511210&src=elib&app=cat
Information Technology , IT Software,MAS,511210 ,"5 POINT SOLUTIONS, LLC",47QTCA22D009T,204 CAUGHMAN FARM LN STE 201,,LEXINGTON,SC,29072-6925,,18038071879,rlucas@myfivepoint.com,http://www.myfivepoint.com,"Jun 21, 2027","Jun 21, 2042",UUJKW7BC9L78,s,,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA22D009T/47QTCA22D009T_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA22D009T&sin=511210&src=elib&app=cat
Information Technology , IT Software,MAS,511210 ,"A & T SYSTEMS, INC.",GS-35F-247DA,12200 TECH RD STE 200,,SILVER SPRING,MD,20904-1971,,240-705-7830,adam@ats.com,http://www.ats.com,"Mar 30, 2026","Mar 30, 2036",XNQZKQDJ7U76,s,,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F247DA/GS35F247DA_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-247DA&sin=511210&src=elib&app=cat
