Large Category,Sub Category,Source,Category,Vendor,Contact #,Address 1,Address 2,City,State,Zip,Country,Phone,Email,URL,Current Option Period End Date,Ultimate Contract End Date,SAM UEI,"Socio-Economic Indicators 
 (only relative codes will appear for a contract)",,,,,,,,,,,,Contractor T&Cs/Pricelist,View Catalog
,,,,,,,,,,,,,,,,,,"Small 
 Business","Other 
 Than 
 Small 
 Business","Women 
 Owned","Women 
 Owned 
 (WOSB)","Women 
 Owned 
(EDWOSB)","Veteran 
 Owned","Service 
 Disabled 
 Veteran 
 Owned","Small 
 Disadv",8(a),"Hub 
 Zone",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,State & Local,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,," Coop 
 purch"," Disast 
 purch",,
,,,,,,,,,,,,,,,,,,s,o,w,wo,ew,v,dv,d,8a,h,,,,
Information Technology , IT Solutions,MAS,541519ICAM ,A SQUARE GROUP LLC,GS-35F-0636Y,6237 EXECUTIVE BLVD,,ROCKVILLE,MD,20852-3906,,3017701400,contracts@asqrgroup.com,http://www.a2-g.com,"Sep 18, 2027","Sep 18, 2032",K22WGLWY6ZK6,s,,w,wo,ew,,,d,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0636Y/GS35F0636Y_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0636Y&sin=541519ICAM&src=elib&app=cat
Information Technology , IT Solutions,MAS,541519ICAM ,"ADVANCED C4 SOLUTIONS, INC.",GS-35F-129BA,4017 W DR MARTIN LUTHER KING JR,,TAMPA,FL,33614-7003,,(813)983-7440,hugh.campbell@ac4s.com,http://www.ac4s.com,"Dec 18, 2023","Dec 18, 2033",R3X2PL2N63L3,s,,,,,,dv,d,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F129BA/GS35F129BA_online.htm,
Information Technology , IT Solutions,MAS,541519ICAM ,"ADVANCED ONION, INC.",47QTCA20D0060,2460 GARDEN RD SUITE E,,MONTEREY,CA,93940-5398,,831-275-2523,valerie@advancedonion.com,http://www.advancedonion.com,"Feb 10, 2025","Feb 10, 2040",TXCCF2Q9N3V4,s,,,,,,dv,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA20D0060/47QTCA20D0060_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA20D0060&sin=541519ICAM&src=elib&app=cat
Information Technology , IT Solutions,MAS,541519ICAM ,ARDIAN GROUP INC. THE,47QTCA22D001J,7 CREEK PKWY STE710,,BOOTHWYN,PA,19061-3100,,(610) 459-4975,jlshelton@ardiangroup.com,http://https://www.ardiangroup.com/,"Nov 7, 2026","Nov 7, 2041",UE9KZJJCMAS9,s,,w,wo,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA22D001J/47QTCA22D001J_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA22D001J&sin=541519ICAM&src=elib&app=cat
Information Technology , IT Solutions,MAS,541519ICAM ,ASM RESEARCH LLC,GS-35F-611GA,4050 LEGATO RD STE 1100,,FAIRFAX,VA,22033-2895,,8043629080,lisa.craven@asmr.com,http://www.asmr.com,"Aug 8, 2027","Aug 8, 2037",TDJMB5JLT149,,o,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F611GA/GS35F611GA_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-611GA&sin=541519ICAM&src=elib&app=cat
Information Technology , IT Solutions,MAS,541519ICAM ,"AVID SYSTEMS, LLC",GS-35F-267BA,1418 PENNSYLVANIA AVE SE,,WASHINGTON,DC,20003-3029,,202-545-6481,esther.lazar@avidsys.com,http:///www.avidsys.com,"Mar 12, 2024","Mar 12, 2034",J511AB5U7TD1,s,,w,wo,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F267BA/GS35F267BA_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-267BA&sin=541519ICAM&src=elib&app=cat
