Large Category,Sub Category,Source,Category,Vendor,Contact #,Address 1,Address 2,City,State,Zip,Country,Phone,Email,URL,Current Option Period End Date,Ultimate Contract End Date,SAM UEI,"Socio-Economic Indicators 
 (only relative codes will appear for a contract)",,,,,,,,,,,,Contractor T&Cs/Pricelist,View Catalog
,,,,,,,,,,,,,,,,,,"Small 
 Business","Other 
 Than 
 Small 
 Business","Women 
 Owned","Women 
 Owned 
 (WOSB)","Women 
 Owned 
(EDWOSB)","Veteran 
 Owned","Service 
 Disabled 
 Veteran 
 Owned","Small 
 Disadv",8(a),"Hub 
 Zone",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,State & Local,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,," Coop 
 purch"," Disast 
 purch",,
,,,,,,,,,,,,,,,,,,s,o,w,wo,ew,v,dv,d,8a,h,,,,
Information Technology , IT Services,MAS,54151S ,"1 SOURCE CONSULTING, INC.",47QTCA19D00AQ,9500 MEDICAL CENTER DRIVE STE 45,,UPPER MARLBORO,MD,20774-3725,,202-856-3899,Kimberly.Logan@1-sc.com,http://www.1-sc.com,"Apr 25, 2024","Apr 25, 2039",EXEYN7TNGWH7,s,,,,,,dv,d,,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA19D00AQ/47QTCA19D00AQ_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA19D00AQ&sin=54151S&src=elib&app=cat
Information Technology , IT Services,MAS,54151S ,"1 SYNC TECHNOLOGIES, LLC",47QTCA18D00AR,8150 OLD FEDERAL RD,,MONTGOMERY,AL,36117-8007,,334-219-3921,govt@1synctech.com,http://www.1synctech.com,"Apr 17, 2023","Apr 17, 2038",SHKSNU48JHZ7,s,,,,,,,d,8a,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA18D00AR/47QTCA18D00AR_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA18D00AR&sin=54151S&src=elib&app=cat
Information Technology , IT Services,MAS,54151S ,"10NOVATE, INC.",47QTCA18D00H9,605 N LINCOLN ST,,ARLINGTON,VA,22201-2308,,571-228-6543,tricia.iveson@10novate.com,http://www.10novate.com,"Aug 14, 2028","Aug 14, 2038",ELHDQLWTSNB7,s,,w,wo,ew,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA18D00H9/47QTCA18D00H9_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA18D00H9&sin=54151S&src=elib&app=cat
Information Technology , IT Services,MAS,54151S ,"1800ADMIN, LLC",GS-35F-333DA,22522 WELBORNE MANOR SQ,,ASHBURN,VA,20148-3144,,7039890958,sammy@1800admin.com,http://www.1800admin.com,"Jun 1, 2026","Jun 1, 2036",KA22XCE5K4Y8,s,,,,,,,d,8a,,Y,,https://www.gsaadvantage.gov/ref_text/GS35F333DA/GS35F333DA_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-333DA&sin=54151S&src=elib&app=cat
Information Technology , IT Services,MAS,54151S ,"1901 GROUP, LLC",GS-35F-0617W,2003 EDMUND HALLEY DR STE 102,,RESTON,VA,20191-3498,,571-526-7840,Michael.L.Dinkins@leidos.com,http://www.1901group.com,"Sep 1, 2025","Sep 1, 2030",PTMRDGJPKHD5,,o,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0617W/GS35F0617W_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0617W&sin=54151S&src=elib&app=cat
Information Technology , IT Services,MAS,54151S ,1A1 INNOVATIONS LLC,47QTCA23D001U,12901 GULF LN,UNIT 503,MADEIRA BEACH,FL,33708-2682,,443-251-6216,SanthoshJ@1a1innovations.com,http://https://www.1a1innovations.com/,"Nov 22, 2027","Nov 22, 2042",YHM7X54WSLT1,s,,,,,,,d,,,Y,,https://www.gsaadvantage.gov/ref_text/47QTCA23D001U/47QTCA23D001U_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA23D001U&sin=54151S&src=elib&app=cat
