Large Category,Sub Category,Source,Category,Vendor,Contact #,Address 1,Address 2,City,State,Zip,Country,Phone,Email,URL,Current Option Period End Date,Ultimate Contract End Date,SAM UEI,"Socio-Economic Indicators 
 (only relative codes will appear for a contract)",,,,,,,,,,,,Contractor T&Cs/Pricelist,View Catalog
,,,,,,,,,,,,,,,,,,"Small 
 Business","Other 
 Than 
 Small 
 Business","Women 
 Owned","Women 
 Owned 
 (WOSB)","Women 
 Owned 
(EDWOSB)","Veteran 
 Owned","Service 
 Disabled 
 Veteran 
 Owned","Small 
 Disadv",8(a),"Hub 
 Zone",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,State & Local,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,," Coop 
 purch"," Disast 
 purch",,
,,,,,,,,,,,,,,,,,,s,o,w,wo,ew,v,dv,d,8a,h,,,,
Information Technology , Telecommunications,MAS,517410 ,AIRBUS DS GEO INC.,GS-35F-0014V,2550 WASSER TER,STE 9100,HERNDON,VA,20171-6381,,(703)715-3130,clemente@airbus-na.com,http://www.intelligence-airbusds.com,"Oct 1, 2023","Oct 1, 2028",NKYPGW97MLK3,,o,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0014V/GS35F0014V_online.htm,
Information Technology , Telecommunications,MAS,517410 ,"AIS ENGINEERING, INC.",GS-35F-0454X,804 PERSHING DR STE 208,,SILVER SPRING,MD,20910-4439,,301-585-1238,sales@aisengineering.com,http://www.aisengineering.com,"Jun 21, 2026","Jun 21, 2031",GUCJS9VEPC56,s,,w,,,,,d,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0454X/GS35F0454X_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0454X&sin=517410&src=elib&app=cat
Information Technology , Telecommunications,MAS,517410 ,"ARTEL, LLC",GS-35F-557GA,13665 DULLES TECHNOLOGY DR,STE 300,HERNDON,VA,20171-4640,,703-620-1700,grondepierre@artelllc.com,http://www.artelllc.com,"Jul 18, 2027","Jul 18, 2037",E93LMZUWUN91,,o,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F557GA/GS35F557GA_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-557GA&sin=517410&src=elib&app=cat
Information Technology , Telecommunications,MAS,517410 ,"BOEING COMPANY, THE",47QTCA19D00G3,6200 JAMES S MCDONNELL BLVD,,SAINT LOUIS,MO,63134-1939,,314-563-7049,connor.j.lotz@boeing.com,http://www.boeing.com,"Jul 24, 2024","Jul 24, 2039",TXT3HAAZREF1,,o,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA19D00G3/47QTCA19D00G3_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA19D00G3&sin=517410&src=elib&app=cat
Information Technology , Telecommunications,MAS,517410 ,"BUSHTEX, INC.",GS-35F-0546R,723 W GUADALUPE RD,,GILBERT,AZ,85233-3213,,480-471-6688,adelaida@bushtex.com,http://www.bushtex.com/,"May 4, 2025","May 4, 2025",EVGGUY8ENG18,s,,w,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0546R/GS35F0546R_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0546R&sin=517410&src=elib&app=cat
Information Technology , Telecommunications,MAS,517410 ,BY LIGHT PROFESSIONAL IT SERVICES LLC,GS-35F-0308U,8484 WESTPARK DR STE 600,,MCLEAN,VA,22102-3590,,703-224-1000,gsapo@bylight.com,http://WWW.BYLIGHT.COM,"Mar 16, 2023","Mar 16, 2028",NKKQE6FG4C28,,o,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0308U/GS35F0308U_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0308U&sin=517410&src=elib&app=cat
