Large Category,Sub Category,Source,Category,Vendor,Contact #,Address 1,Address 2,City,State,Zip,Country,Phone,Email,URL,Current Option Period End Date,Ultimate Contract End Date,SAM UEI,"Socio-Economic Indicators 
 (only relative codes will appear for a contract)",,,,,,,,,,,,Contractor T&Cs/Pricelist,View Catalog
,,,,,,,,,,,,,,,,,,"Small 
 Business","Other 
 Than 
 Small 
 Business","Women 
 Owned","Women 
 Owned 
 (WOSB)","Women 
 Owned 
(EDWOSB)","Veteran 
 Owned","Service 
 Disabled 
 Veteran 
 Owned","Small 
 Disadv",8(a),"Hub 
 Zone",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,State & Local,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,," Coop 
 purch"," Disast 
 purch",,
,,,,,,,,,,,,,,,,,,s,o,w,wo,ew,v,dv,d,8a,h,,,,
Information Technology , IT Hardware,MAS,33411 ,"3T-INNOVATIONS, LLC",GS-35F-528GA,13908 MONROES BUSINESS PARK,,TAMPA,FL,33635-6370,,727-709-0426,Sarena@3tiinc.com,http://www.3tiinc.com,"Jul 5, 2027","Jul 5, 2037",K87QS6QJ79Z3,s,,,,,,dv,d,8a,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F528GA/GS35F528GA_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-528GA&sin=33411&src=elib&app=cat
Information Technology , IT Hardware,MAS,33411 ,4ES CORPORATION,47QTCA23D000X,5210 ROBLE GRANDE,,SAN ANTONIO,TX,78261-1712,,210-392-4298,strevino@4escorp.com,http://www.4escorp.com,"Oct 26, 2027","Oct 26, 2042",JMDYKVZCTZE5,s,,,,,,,d,8a,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA23D000X/47QTCA23D000X_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA23D000X&sin=33411&src=elib&app=cat
Information Technology , IT Hardware,MAS,33411 ,"52 NETWORKS, INC.",47QTCA22D00B3,4380 WHITMER DRIVE APT 14,,WOODBRIDGE,VA,22193-2915,,5714028369,uzair@52networks.com,http://52networks.com,"Jul 25, 2027","Jul 25, 2042",FV4KBSNE5S75,s,,,,,,,d,,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA22D00B3/47QTCA22D00B3_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA22D00B3&sin=33411&src=elib&app=cat
Information Technology , IT Hardware,MAS,33411 ,@ XI COMPUTER CORPORATION,GS-35F-0611R,980 CALLE NEGOCIO,,SAN CLEMENTE,CA,92673-6201,,(949) 498-0858,suem@xicomputer.com,http://www.xicomputer.com,"May 24, 2025","May 24, 2025",LNTZFX574NN3,s,,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0611R/GS35F0611R_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0611R&sin=33411&src=elib&app=cat
Information Technology , IT Hardware,MAS,33411 ,A & T MARKETING INC.,GS-35F-400CA,11863 LINDEN CHAPEL RD,,CLARKSVILLE,MD,21029-1134,,(410) 312-9900,tonyg@atnetworks.com,http://www.atnetworks.com,"Jun 30, 2025","Jun 30, 2035",Q4LEF7NK7TJ3,s,,w,wo,ew,,,d,,,,Y,,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-400CA&sin=33411&src=elib&app=cat
Information Technology , IT Hardware,MAS,33411 ,"A & T SYSTEMS, INC.",GS-35F-247DA,12200 TECH RD STE 200,,SILVER SPRING,MD,20904-1971,,240-705-7830,adam@ats.com,http://www.ats.com,"Mar 30, 2026","Mar 30, 2036",XNQZKQDJ7U76,s,,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F247DA/GS35F247DA_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-247DA&sin=33411&src=elib&app=cat
