Large Category,Sub Category,Source,Category,Vendor,Contact #,Address 1,Address 2,City,State,Zip,Country,Phone,Email,URL,Current Option Period End Date,Ultimate Contract End Date,SAM UEI,"Socio-Economic Indicators 
 (only relative codes will appear for a contract)",,,,,,,,,,,,Contractor T&Cs/Pricelist,View Catalog
,,,,,,,,,,,,,,,,,,"Small 
 Business","Other 
 Than 
 Small 
 Business","Women 
 Owned","Women 
 Owned 
 (WOSB)","Women 
 Owned 
(EDWOSB)","Veteran 
 Owned","Service 
 Disabled 
 Veteran 
 Owned","Small 
 Disadv",8(a),"Hub 
 Zone",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,State & Local,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,," Coop 
 purch"," Disast 
 purch",,
,,,,,,,,,,,,,,,,,,s,o,w,wo,ew,v,dv,d,8a,h,,,,
Information Technology , Electronic Commerce,MAS,54151ECOM ,"1901 GROUP, LLC",GS-35F-0617W,2003 EDMUND HALLEY DR STE 102,,RESTON,VA,20191-3498,,571-526-7840,Michael.L.Dinkins@leidos.com,http://www.1901group.com,"Sep 1, 2025","Sep 1, 2030",PTMRDGJPKHD5,,o,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0617W/GS35F0617W_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0617W&sin=54151ECOM&src=elib&app=cat
Information Technology , Electronic Commerce,MAS,54151ECOM ,"45PRESS, INC",GS-35F-111GA,3660 STUTZ DR STE 201,,CANFIELD,OH,44406-8149,,(330)953-1745,joel@45press.com,http://www.45press.com,"Dec 6, 2026","Dec 6, 2036",GDSNTEGLGPM3,s,,,,,,,,,,Y,,https://www.gsaadvantage.gov/ref_text/GS35F111GA/GS35F111GA_online.htm,
Information Technology , Electronic Commerce,MAS,54151ECOM ,"A & T SYSTEMS, INC.",GS-35F-247DA,12200 TECH RD STE 200,,SILVER SPRING,MD,20904-1971,,240-705-7830,adam@ats.com,http://www.ats.com,"Mar 30, 2026","Mar 30, 2036",XNQZKQDJ7U76,s,,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F247DA/GS35F247DA_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-247DA&sin=54151ECOM&src=elib&app=cat
Information Technology , Electronic Commerce,MAS,54151ECOM ,ACADEMY OF COMPUTER EDUCATION,GS-35F-0431S,7833 WALKER DR STE 520,,GREENBELT,MD,20770-3232,,301-220-2802,rsita@trainace.com,http://www.trainace.com,"May 23, 2026","May 23, 2026",RP87E3LUEW95,s,,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0431S/GS35F0431S_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0431S&sin=54151ECOM&src=elib&app=cat
Information Technology , Electronic Commerce,MAS,54151ECOM ,"ACCELERA SOLUTIONS, INC.",47QTCA19D00L2,4013 WILLIAMSBURG CT,STE 300,FAIRFAX,VA,22032-1139,,703-389-2254,jmcnicholas@gsa4business.com,http://www.accelerasolutions.com,"Sep 11, 2024","Sep 11, 2039",EK5HS5TQGC65,s,,,,,,,d,,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA19D00L2/47QTCA19D00L2_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA19D00L2&sin=54151ECOM&src=elib&app=cat
Information Technology , Electronic Commerce,MAS,54151ECOM ,"ACCELERA SOLUTIONS, INC.",GS-35F-0391P,4013 WILLIAMSBURG CT,STE 300,FAIRFAX,VA,22032-1139,,703-389-2254,jmcnicholas@gsa4business.com,http://www.accelerasolutions.com,"Mar 26, 2024","Mar 26, 2024",EK5HS5TQGC65,s,,,,,,,d,,,Y,Y,https://www.gsaadvantage.gov/ref_text/GS35F0391P/GS35F0391P_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0391P&sin=54151ECOM&src=elib&app=cat
