Large Category,Sub Category,Source,Category,Vendor,Contact #,Address 1,Address 2,City,State,Zip,Country,Phone,Email,URL,Current Option Period End Date,Ultimate Contract End Date,SAM UEI,"Socio-Economic Indicators 
 (only relative codes will appear for a contract)",,,,,,,,,,,,Contractor T&Cs/Pricelist,View Catalog
,,,,,,,,,,,,,,,,,,"Small 
 Business","Other 
 Than 
 Small 
 Business","Women 
 Owned","Women 
 Owned 
 (WOSB)","Women 
 Owned 
(EDWOSB)","Veteran 
 Owned","Service 
 Disabled 
 Veteran 
 Owned","Small 
 Disadv",8(a),"Hub 
 Zone",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,State & Local,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,," Coop 
 purch"," Disast 
 purch",,
,,,,,,,,,,,,,,,,,,s,o,w,wo,ew,v,dv,d,8a,h,,,,
Information Technology , IT Solutions,MAS,561422 ,"6E TECHNOLOGIES, LLC",47QTCA22D006C,6795 EAST TENNESSEE AVE STE 1-35,,DENVER,CO,80224-1614,,(303) 417-6332,komal.goyal@6etech.com,http://www.6etech.com,"Mar 28, 2027","Mar 28, 2042",SKEXZ2A5JH26,s,,w,wo,ew,,,d,,h,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA22D006C/47QTCA22D006C_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA22D006C&sin=561422&src=elib&app=cat
Information Technology , IT Solutions,MAS,561422 ,ACCENTURE FEDERAL SERVICES LLC,GS-35F-540GA,800 NORTH GLEBE RD #300,,ARLINGTON,VA,22203-1807,,703-457-2258,GSASchedules@accenturefederal.com,http://accenturefederal.com,"Jul 11, 2027","Jul 11, 2037",C47BNA8GM833,,o,,,,,,,,,Y,,https://www.gsaadvantage.gov/ref_text/GS35F540GA/GS35F540GA_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-540GA&sin=561422&src=elib&app=cat
Information Technology , IT Solutions,MAS,561422 ,AT&T CORP.,47QTCA18D00JG,3033 CHAIN BRIDGE RD,,OAKTON,VA,22185-1000,,(571)595-8671,mf4389@att.com,http://www.att.com/gov,"Aug 27, 2023","Aug 27, 2038",MNALR8D818N7,,o,,,,,,,,,Y,Y,https://www.gsaadvantage.gov/ref_text/47QTCA18D00JG/47QTCA18D00JG_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA18D00JG&sin=561422&src=elib&app=cat
Information Technology , IT Solutions,MAS,561422 ,"AVAYA FEDERAL SOLUTIONS, INC.",GS-35F-0156V,12730 FAIR LAKES CIR,,FAIRFAX,VA,22033-4901,,(703) 376-2063,dingram@avaya.com,https://news.avaya.com/gov-gsa-schedule,"Jan 7, 2024","Jan 7, 2029",NML3JFNVEAW6,,o,,,,,,,,,Y,,https://www.gsaadvantage.gov/ref_text/GS35F0156V/GS35F0156V_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=GS-35F-0156V&sin=561422&src=elib&app=cat
Information Technology , IT Solutions,MAS,561422 ,"AVILAMB, INC.",47QTCA20D00BG,888 N QUINCY ST,UNIT 411,ARLINGTON,VA,22203-2072,,4127225967,eran.aladjem@avilamb.com,http://www.avilamb.com,"Jun 17, 2025","Jun 17, 2040",X8JCFKXH34Y5,s,,,,,,,d,,,,Y,https://www.gsaadvantage.gov/ref_text/47QTCA20D00BG/47QTCA20D00BG_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QTCA20D00BG&sin=561422&src=elib&app=cat
Information Technology , IT Solutions,MAS,561422 ,CARAHSOFT TECHNOLOGY CORPORATION,47QSWA18D008F,11493 SUNSET HILLS RD,STE 100,RESTON,VA,20190-5230,,703-871-8500,contracts@carahsoft.com,http://www.carahsoft.com,"Aug 21, 2023","Aug 21, 2038",DT8KJHZXVJH5,,o,,,,,,,,,Y,,https://www.gsaadvantage.gov/ref_text/47QSWA18D008F/47QSWA18D008F_online.htm,https://www.gsaelibrary.gsa.gov/ElibMain/advRedirect.do?contract=47QSWA18D008F&sin=561422&src=elib&app=cat
